schedule,time,history
S04,0,S04
-,1,S04
-,2,S04
-,3,S04
-,4,S04
-,5,S04
-,6,S04
-,7,S04
-,8,moving
-,9,S01
S01,10,S01
-,11,S01
-,12,S01
-,13,S01
-,14,S01
-,15,S01
-,16,S01
-,17,S01
-,18,S01
-,19,moving
S04,20,S04
-,21,S04
-,22,S04
-,23,S04
-,24,S04
-,25,S04
-,26,S04
-,27,S04
-,28,moving
-,29,S01
S01,30,S01
-,31,S01
-,32,S01
-,33,S01
-,34,S01
-,35,S01
-,36,S01
-,37,S01
-,38,S01
-,39,moving
S04,40,S04
-,41,S04
-,42,S04
-,43,S04
-,44,S04
-,45,S04
-,46,S04
-,47,S04
-,48,moving
-,49,S01
S01,50,S01
-,51,S01
-,52,S01
-,53,S01
-,54,S01
-,55,S01
-,56,S01
-,57,S01
-,58,S01
-,59,moving
S04,60,S04
-,61,(FINISH)
